Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	1/27	0.0094131205361766	0.064600900731405	0	0	127.99358974358974	597.1733894173036	SCD5
KEGG_2021_Human	Cysteine and methionine metabolism	1/50	0.0173717414502839	0.064600900731405	0	0	67.83673469387755	274.9362107684438	ENOPH1
KEGG_2021_Human	Renal cell carcinoma	1/69	0.0239048624297548	0.064600900731405	0	0	48.83578431372549	182.336868459542	RAPGEF1
KEGG_2021_Human	PPAR signaling pathway	1/74	0.0256179044155202	0.064600900731405	0	0	45.47945205479452	166.65780482203337	SCD5
KEGG_2021_Human	Neurotrophin signaling pathway	1/119	0.0409196890369817	0.064600900731405	0	0	28.072033898305083	89.72226094948338	RAPGEF1
KEGG_2021_Human	AMPK signaling pathway	1/120	0.0412573754770396	0.064600900731405	0	0	27.834733893557424	88.73505470110672	SCD5
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	0.04159496000931	0.064600900731405	0	0	27.601388888888888	87.76624148181858	MED13L
KEGG_2021_Human	Insulin signaling pathway	1/137	0.0469824732592036	0.064600900731405	0	0	24.334558823529413	74.41461015948276	RAPGEF1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	1/171	0.0583448120661185	0.0712349184661571	0	0	19.434313725490195	55.22036429452281	SEC31A
KEGG_2021_Human	Focal adhesion	1/201	0.0682737828999443	0.0712349184661571	0	0	16.49416666666667	44.27412772556182	RAPGEF1
KEGG_2021_Human	Rap1 signaling pathway	1/210	0.0712349184661571	0.0712349184661571	0	0	15.77671451355662	41.67848506599672	RAPGEF1
