ALX3,Paired-related HD factors
AR,Steroid hormone receptors (NR3)
ARGFX,Paired-related HD factors
ARNT2,PAS domain factors
ARNT::HIF1A,PAS domain factors::PAS domain factors
ASCL1(var.2),MyoD / ASC-related factors
ASCL1,MyoD / ASC-related factors
ATF2,Jun-related factors
ATF3,Jun-related factors
ATF4,ATF-4-related factors
ATF6,Jun-related factors
ATF7,Jun-related factors
ATOH1(var.2),Tal-related factors
ATOH7,Tal-related factors
BACH1,Jun-related factors
BACH2(var.2),Jun-related factors
BACH2,Jun-related factors
BARHL1,NK-related factors
BARHL2,NK-related factors
BARX1,NK-related factors
BARX2,NK-related factors
BATF,B-ATF-related factors
BATF3,B-ATF-related factors
BATF::JUN,B-ATF-related factors::Jun-related factors
BCL6,More than 3 adjacent zinc finger factors
BCL6B,More than 3 adjacent zinc finger factors
BHLHA15(var.2),Tal-related factors
BHLHE22(var.2),Tal-related factors
BHLHE22,Tal-related factors
BHLHE23,Tal-related factors
BHLHE40,Hairy-related factors
BHLHE41,Hairy-related factors
BSX,NK-related factors
CDX1,HOX-related factors
CDX2,HOX-related factors
CDX4,HOX-related factors
CEBPA,C/EBP-related factors
CEBPB,C/EBP-related factors
CEBPD,C/EBP-related factors
CEBPE,C/EBP-related factors
CEBPG(var.2),C/EBP-related factors
CEBPG,C/EBP-related factors
CENPB,
CLOCK,PAS domain factors
CREB1,CREB-related factors
CREB3,CREB-related factors
CREB3L1,CREB-related factors
CREB3L4(var.2),CREB-related factors
CREB3L4,CREB-related factors
CREM,CREB-related factors
CTCF,More than 3 adjacent zinc finger factors
CTCFL,More than 3 adjacent zinc finger factors
CUX1,HD-CUT factors
CUX2,HD-CUT factors
DBP,C/EBP-related factors
DLX5,NK-related factors
DLX6,NK-related factors
DMRT3,DMRT factors
DMRTA2,DMRT factors
DMRTC2,DMRT factors
DPRX,Paired-related HD factors
DRGX,Paired-related HD factors
DUX4,Paired-related HD factors
DUXA,Paired-related HD factors
E2F1,E2F-related factors
E2F2,E2F-related factors
E2F3,E2F-related factors
E2F4,E2F-related factors
E2F6,E2F-related factors
E2F7,E2F-related factors
E2F8,E2F-related factors
EBF1,Early B-Cell Factor-related factors
EBF3,Early B-Cell Factor-related factors
EGR1,Three-zinc finger Kruppel-related factors
EGR2,Three-zinc finger Krüppel-related factors
